transaction_id,date,transaction_type,category,merchant,amount,payment_method
TXN00404,2025-01-10,Expense,Bills,Electricity Board,3155.44,Bank Transfer
TXN01657,2025-01-10,Expense,Bills,BigBasket,1846.12,Bank Transfer
TXN00225,2025-01-10,Income,Freelance,Investment Account,9327.12,Credit Card
TXN01663,2025-01-10,Expense,Travel,Amazon,65783.54,Cash
TXN00973,2025-01-10,Expense,Food,Electricity Board,10272.68,UPI
TXN00203,2025-01-10,Expense,Education,Ola,9368.48,Credit Card
TXN01734,2025-01-10,Expense,Transport,Hospital,21927.47,Bank Transfer
TXN01434,2025-01-11,Expense,Food,Hospital,752.84,UPI
TXN01543,2025-01-11,Expense,Food,Hospital,4818.11,UPI
TXN01876,2025-01-11,Expense,Transport,BigBasket,7268.32,Cash
TXN00329,2025-01-11,Expense,Other,IRCTC,11593.16,Debit Card
TXN00479,2025-01-12,Expense,Food,BigBasket,501.54,Debit Card
TXN01683,2025-01-12,Expense,Healthcare,College,1924.91,Cash
TXN01466,2025-01-12,Income,Salary,Company,33140.46,UPI
TXN00871,2025-01-13,Expense,Transport,Jio,3043.51,Bank Transfer
TXN00410,2025-01-13,Expense,Bills,Uber,2152.9,Credit Card
TXN00621,2025-01-13,Expense,Travel,Hospital,7466.45,Cash
TXN01228,2025-01-13,Income,Investment,Investment Account,49531.3,Bank Transfer
TXN01938,2025-01-13,Expense,Entertainment,Airtel,12252.14,Debit Card
TXN01502,2025-01-14,Expense,Other,Jio,10671.2,Bank Transfer
TXN00045,2025-01-14,Income,Salary,Bank,19283.35,Debit Card
TXN01794,2025-01-14,Expense,Other,Netflix,13364.52,Bank Transfer
TXN01738,2025-01-14,Expense,Groceries,Electricity Board,254.89,Cash
TXN00104,2025-01-15,Expense,Food,College,13474.98,UPI
TXN01907,2025-01-15,Expense,Entertainment,Zomato,11965.27,Bank Transfer
TXN01518,2025-01-15,Expense,Food,Netflix,5114.23,Bank Transfer
TXN01105,2025-01-15,Expense,Entertainment,Uber,8726.24,Bank Transfer
TXN01526,2025-01-15,Expense,Education,Flipkart,10218.36,Debit Card
TXN01058,2025-01-15,Expense,Shopping,Spotify,13729.23,UPI
TXN00835,2025-01-16,Expense,Entertainment,Airtel,7564.29,Bank Transfer
TXN00637,2025-01-16,Expense,Travel,Jio,5080.05,Credit Card
TXN00092,2025-01-16,Expense,Entertainment,Airtel,6596.15,UPI
TXN00875,2025-01-17,Income,Investment,Investment Account,52088.59,UPI
TXN00116,2025-01-17,Income,Investment,Client,64894.8,Bank Transfer
TXN00911,2025-01-17,Income,Investment,Investment Account,72928.5,Cash
TXN01098,2025-01-17,Income,Freelance,Client,11945.18,Bank Transfer
TXN00110,2025-01-17,Expense,Shopping,Zomato,14784.03,Credit Card
TXN00791,2025-01-17,Expense,Shopping,Electricity Board,6805.87,Credit Card
TXN00001,2025-01-17,Expense,Bills,Flipkart,6258.92,Bank Transfer
TXN00013,2025-01-17,Expense,Entertainment,Netflix,4620.46,Debit Card
TXN01682,2025-01-17,Expense,Education,Jio,11541.05,UPI
TXN00908,2025-01-18,Expense,Groceries,Ola,7466.65,Cash
TXN01390,2025-01-18,Expense,Shopping,Flipkart,9153.94,Credit Card
TXN00130,2025-01-18,Expense,Travel,Swiggy,5426.34,Bank Transfer
TXN01642,2025-01-18,Expense,Transport,Amazon,6835.62,Credit Card
TXN01435,2025-01-18,Income,Salary,Investment Account,7902.72,Cash
TXN00736,2025-01-19,Expense,Entertainment,Airtel,5321.62,Bank Transfer
TXN01146,2025-01-19,Expense,Transport,Myntra,6610.92,Cash
TXN00711,2025-01-19,Expense,Bills,Zomato,1929.08,Credit Card
TXN01320,2025-01-19,Income,Salary,Bank,62091.12,Debit Card
TXN01073,2025-01-19,Expense,Other,College,774.38,UPI
TXN00813,2025-01-19,Expense,Shopping,Myntra,6129.08,Cash
TXN01996,2025-01-19,Expense,Travel,Myntra,24300.83,Cash
TXN01975,2025-01-19,Expense,Healthcare,BookMyShow,5379.96,Credit Card
TXN00334,2025-01-20,Expense,Education,BigBasket,4694.93,UPI
TXN01650,2025-01-20,Expense,Other,College,10708.33,Bank Transfer
TXN01765,2025-01-20,Expense,Bills,BookMyShow,14909.83,Cash
TXN01180,2025-01-21,Expense,Education,Swiggy,5169.17,Credit Card
TXN00699,2025-01-21,Expense,Travel,Zomato,13334.5,UPI
TXN01942,2025-01-21,Expense,Transport,BookMyShow,14815.19,Cash
TXN00478,2025-01-21,Expense,Entertainment,Amazon,9745.88,UPI
TXN00192,2025-01-21,Expense,Entertainment,IRCTC,2648.19,Debit Card
TXN00948,2025-01-22,Income,Freelance,Bank,43635.5,Credit Card
TXN00286,2025-01-22,Expense,Healthcare,Myntra,14773.1,Bank Transfer
TXN00665,2025-01-22,Income,Salary,Client,26335.79,Credit Card
TXN00645,2025-01-22,Expense,Other,Swiggy,2835.74,Debit Card
TXN01847,2025-01-22,Expense,Healthcare,College,12905.9,Cash
TXN01687,2025-01-22,Expense,Groceries,IRCTC,7194.03,Debit Card
TXN00336,2025-01-22,Expense,Healthcare,Zomato,66627.12,UPI
TXN01080,2025-01-22,Income,Freelance,Company,78589.85,UPI
TXN00693,2025-01-22,Income,Salary,Client,37674.98,Debit Card
TXN00870,2025-01-23,Expense,Food,Electricity Board,2823.5,UPI
TXN00903,2025-01-24,Expense,Education,College,3518.35,Credit Card
TXN00804,2025-01-24,Expense,Travel,DMart,9854.66,Cash
TXN01736,2025-01-24,Expense,Entertainment,Zomato,10357.91,UPI
TXN01476,2025-01-24,Expense,Healthcare,Swiggy,13791.53,Credit Card
TXN01949,2025-01-24,Income,Freelance,Company,79159.85,Debit Card
TXN01060,2025-01-25,Expense,Healthcare,Spotify,7922.13,Bank Transfer
TXN00784,2025-01-25,Income,Investment,Bank,37301.02,Credit Card
TXN00821,2025-01-25,Expense,Education,DMart,10607.16,Cash
TXN01517,2025-01-25,Income,Freelance,Bank,15187.22,Cash
TXN00572,2025-01-25,Expense,Food,IRCTC,2574.17,Bank Transfer
TXN01412,2025-01-26,Expense,Transport,Amazon,12475.72,Cash
TXN00362,2025-01-26,Expense,Healthcare,IRCTC,8876.1,UPI
TXN00769,2025-01-26,Expense,Other,Ola,5140.05,UPI
TXN00183,2025-01-26,Expense,Entertainment,College,6186.2,Debit Card
TXN01805,2025-01-26,Expense,Groceries,BookMyShow,6422.19,Credit Card
TXN00962,2025-01-26,Expense,Entertainment,Electricity Board,13245.53,Credit Card
TXN00591,2025-01-26,Expense,Groceries,Jio,11566.62,Cash
TXN00595,2025-01-26,Expense,Transport,IRCTC,4574.77,Debit Card
TXN00677,2025-01-27,Expense,Entertainment,Ola,719.74,UPI
TXN01884,2025-01-27,Expense,Transport,DMart,5682.39,Debit Card
TXN01427,2025-01-27,Expense,Healthcare,BigBasket,1929.9,Cash
TXN01074,2025-01-27,Income,Freelance,Company,32465.31,Debit Card
TXN00556,2025-01-27,Income,Salary,Company,18356.68,Credit Card
TXN00264,2025-01-27,Expense,Bills,Electricity Board,1052.34,Bank Transfer
TXN01409,2025-01-27,Expense,Travel,Airtel,6224.83,Bank Transfer
TXN01426,2025-01-27,Income,Investment,Investment Account,12310.37,Credit Card
TXN00815,2025-01-27,Expense,Healthcare,BigBasket,2011.26,Bank Transfer
TXN01375,2025-01-28,Expense,Travel,Amazon,7805.88,Cash
TXN00587,2025-01-28,Income,Salary,Client,25226.13,Credit Card
TXN01289,2025-01-28,Expense,Food,BigBasket,3239.0,Debit Card
TXN00331,2025-01-28,Expense,Travel,College,10338.35,Credit Card
TXN00798,2025-01-28,Expense,Food,Ola,4317.1,Bank Transfer
TXN01936,2025-01-28,Expense,Education,Spotify,11614.56,Debit Card
TXN00700,2025-01-29,Expense,Transport,Zomato,3868.68,Credit Card
TXN01470,2025-01-29,Expense,Shopping,Amazon,14746.57,Credit Card
TXN01319,2025-01-29,Income,Freelance,Bank,21152.95,UPI
TXN00667,2025-01-29,Income,Freelance,Investment Account,7627.1,Bank Transfer
TXN01110,2025-01-30,Expense,Entertainment,BigBasket,4541.95,Bank Transfer
TXN01421,2025-01-30,Expense,Groceries,Flipkart,4424.54,Credit Card
TXN01673,2025-01-30,Expense,Healthcare,Uber,10174.96,UPI
TXN01220,2025-01-30,Expense,Food,BookMyShow,6924.0,Debit Card
TXN01306,2025-01-30,Expense,Education,DMart,14176.48,Cash
TXN00899,2025-01-30,Expense,Other,Zomato,586.65,Cash
TXN01482,2025-01-30,Expense,Travel,BigBasket,1842.0,Bank Transfer
TXN00706,2025-01-30,Expense,Groceries,Zomato,3759.7,Bank Transfer
TXN01850,2025-01-30,Expense,Bills,Amazon,4720.17,Debit Card
TXN00750,2025-01-30,Expense,Healthcare,College,262.63,Cash
TXN00760,2025-01-31,Income,Salary,Company,31801.62,Debit Card
TXN01719,2025-01-31,Expense,Other,College,813.6,Debit Card
TXN01911,2025-01-31,Expense,Healthcare,Zomato,1346.25,UPI
TXN00620,2025-01-31,Expense,Other,Ola,2091.63,Cash
TXN01090,2025-01-31,Expense,Transport,IRCTC,6093.58,Credit Card
TXN00889,2025-01-31,Expense,Groceries,Zomato,103.43,Debit Card
TXN00486,2025-02-01,Expense,Entertainment,Hospital,8219.81,Cash
TXN00960,2025-02-02,Expense,Healthcare,Uber,232.21,Credit Card
TXN00615,2025-02-02,Expense,Entertainment,Jio,13020.65,Bank Transfer
TXN01331,2025-02-02,Expense,Entertainment,BigBasket,283.76,Cash
TXN00457,2025-02-02,Expense,Other,Ola,1696.61,Bank Transfer
TXN01436,2025-02-02,Income,Investment,Bank,54485.39,Debit Card
TXN01226,2025-02-02,Income,Salary,Company,7518.17,Cash
TXN01247,2025-02-03,Expense,Food,Spotify,11875.29,Bank Transfer
TXN00873,2025-02-03,Expense,Shopping,BookMyShow,13624.96,Bank Transfer
TXN01700,2025-02-03,Expense,Healthcare,Uber,366.02,UPI
TXN01509,2025-02-03,Expense,Groceries,Netflix,1419.59,Bank Transfer
TXN01644,2025-02-03,Expense,Food,Hospital,5385.37,UPI
TXN01927,2025-02-04,Expense,Groceries,Swiggy,915.45,UPI
TXN00608,2025-02-04,Expense,Other,Hospital,14265.92,Cash
TXN00355,2025-02-04,Expense,Other,Uber,13088.55,Credit Card
TXN01327,2025-02-04,Expense,Travel,Amazon,11429.39,Bank Transfer
TXN01629,2025-02-04,Expense,Healthcare,Electricity Board,10563.6,Cash
TXN01292,2025-02-04,Expense,Entertainment,Spotify,5452.0,UPI
TXN00035,2025-02-05,Expense,Bills,Zomato,7696.17,Debit Card
TXN01160,2025-02-05,Income,Freelance,Investment Account,37052.4,UPI
TXN00696,2025-02-05,Expense,Healthcare,Zomato,4810.58,Cash
TXN00650,2025-02-05,Expense,Travel,BigBasket,13592.27,Bank Transfer
TXN01590,2025-02-05,Expense,Groceries,Myntra,1068.24,Cash
TXN01352,2025-02-05,Expense,Bills,Netflix,9780.2,Cash
TXN01082,2025-02-05,Expense,Bills,Myntra,14810.51,Cash
TXN00161,2025-02-06,Expense,Transport,BigBasket,6743.48,Debit Card
TXN01797,2025-02-06,Expense,Transport,Myntra,13048.3,Debit Card
TXN00166,2025-02-06,Expense,Bills,Swiggy,4517.21,Credit Card
TXN01758,2025-02-06,Expense,Travel,Netflix,12805.71,Credit Card
TXN01832,2025-02-06,Expense,Education,DMart,11012.49,UPI
TXN01088,2025-02-06,Expense,Bills,Uber,12120.16,Credit Card
TXN00015,2025-02-06,Income,Investment,Company,63890.86,UPI
TXN00455,2025-02-06,Expense,Transport,Hospital,9208.66,Credit Card
TXN01432,2025-02-07,Expense,Other,Amazon,1996.11,UPI
TXN01550,2025-02-07,Expense,Education,Jio,12857.21,UPI
TXN00868,2025-02-07,Expense,Education,Jio,6066.9,Cash
TXN01676,2025-02-07,Expense,Education,Spotify,4842.06,Debit Card
TXN00216,2025-02-08,Expense,Food,Jio,10551.54,Cash
TXN01022,2025-02-08,Expense,Other,IRCTC,1663.89,Cash
TXN00748,2025-02-08,Expense,Travel,Flipkart,14579.19,Bank Transfer
TXN00036,2025-02-08,Expense,Other,Spotify,4061.25,Debit Card
TXN00312,2025-02-08,Expense,Shopping,DMart,6878.68,Debit Card
TXN00963,2025-02-08,Expense,Bills,Amazon,9775.08,Credit Card
TXN00710,2025-02-08,Expense,Entertainment,Spotify,14002.39,UPI
TXN00817,2025-02-09,Expense,Healthcare,Airtel,905.55,Cash
TXN01279,2025-02-09,Expense,Shopping,Hospital,411.7,Credit Card
TXN01525,2025-02-09,Income,Investment,Bank,69911.04,Cash
TXN00628,2025-02-09,Expense,Bills,Hospital,12972.46,Debit Card
TXN01051,2025-02-10,Income,Freelance,Investment Account,73875.22,Credit Card
TXN00779,2025-02-11,Income,Salary,Bank,39133.43,UPI
TXN01095,2025-02-11,Expense,Other,IRCTC,319.76,Cash
TXN01251,2025-02-11,Expense,Other,College,10593.92,Credit Card
TXN00122,2025-02-11,Income,Freelance,Bank,33428.31,Debit Card
TXN00529,2025-02-11,Expense,Groceries,Netflix,11264.5,Debit Card
TXN00803,2025-02-11,Expense,Entertainment,Swiggy,13755.86,Credit Card
TXN00481,2025-02-11,Income,Salary,Investment Account,72430.55,Bank Transfer
TXN00714,2025-02-12,Expense,Shopping,BookMyShow,1617.3,Credit Card
TXN00025,2025-02-12,Expense,Other,Swiggy,9059.28,Debit Card
TXN01370,2025-02-12,Expense,Food,BookMyShow,5477.21,Credit Card
TXN01223,2025-02-12,Expense,Healthcare,Netflix,11267.44,Credit Card
TXN00451,2025-02-12,Expense,Groceries,BookMyShow,14971.94,Debit Card
TXN00185,2025-02-12,Expense,Entertainment,Electricity Board,13237.91,Credit Card
TXN01206,2025-02-12,Expense,Food,Hospital,33432.35,Credit Card
TXN00554,2025-02-13,Expense,Other,IRCTC,13658.6,Debit Card
TXN01413,2025-02-13,Expense,Healthcare,Jio,6579.4,UPI
TXN01926,2025-02-13,Expense,Healthcare,Airtel,10187.45,Credit Card
TXN00414,2025-02-13,Expense,Shopping,Myntra,1145.01,Cash
TXN01201,2025-02-14,Expense,Healthcare,Netflix,12026.39,Credit Card
TXN00658,2025-02-14,Expense,Bills,Airtel,2112.93,Debit Card
TXN01280,2025-02-14,Expense,Entertainment,Amazon,11066.52,Cash
TXN01242,2025-02-14,Expense,Food,IRCTC,10953.46,Credit Card
TXN01576,2025-02-14,Expense,Entertainment,Zomato,3585.36,Debit Card
TXN01315,2025-02-14,Expense,Healthcare,Myntra,11226.91,Credit Card
TXN01373,2025-02-14,Expense,Entertainment,Flipkart,11720.9,Cash
TXN00937,2025-02-14,Expense,Bills,Hospital,12398.54,Bank Transfer
TXN00454,2025-02-14,Expense,Education,Flipkart,14129.74,Debit Card
TXN01218,2025-02-14,Expense,Bills,Jio,2889.12,Cash
TXN01633,2025-02-15,Expense,Healthcare,College,4626.01,Debit Card
TXN00437,2025-02-15,Expense,Shopping,Electricity Board,2340.24,Debit Card
TXN00523,2025-02-15,Expense,Education,Spotify,4780.85,Cash
TXN00065,2025-02-15,Expense,Education,Ola,9653.77,Debit Card
TXN00470,2025-02-15,Expense,Bills,BookMyShow,7233.27,Bank Transfer
TXN00744,2025-02-15,Expense,Entertainment,Hospital,1410.6,Cash
TXN01966,2025-02-15,Income,Salary,Client,74471.59,UPI
TXN00876,2025-02-15,Income,Freelance,Investment Account,40048.93,Debit Card
TXN01142,2025-02-15,Expense,Travel,IRCTC,3149.82,UPI
TXN00629,2025-02-15,Income,Investment,Company,70349.51,Debit Card
TXN01341,2025-02-16,Expense,Other,Myntra,2077.07,Credit Card
TXN00268,2025-02-16,Expense,Other,Flipkart,3423.07,Cash
TXN01849,2025-02-16,Income,Investment,Company,40397.12,Bank Transfer
TXN00291,2025-02-16,Expense,Education,Netflix,8380.29,Cash
TXN00202,2025-02-16,Expense,Bills,Spotify,1347.93,Debit Card
TXN01487,2025-02-16,Expense,Shopping,Jio,5182.49,Credit Card
TXN00106,2025-02-16,Expense,Travel,Ola,6079.29,Debit Card
TXN00335,2025-02-17,Expense,Shopping,BigBasket,13939.54,Cash
TXN01387,2025-02-17,Expense,Other,BigBasket,783.27,Credit Card
TXN00458,2025-02-17,Expense,Education,College,11133.66,Bank Transfer
TXN01467,2025-02-17,Expense,Education,Uber,1340.19,UPI
TXN00140,2025-02-17,Expense,Shopping,BookMyShow,14350.76,Cash
TXN00233,2025-02-17,Expense,Bills,Electricity Board,11511.98,Bank Transfer
TXN00171,2025-02-17,Income,Freelance,Client,34590.97,Debit Card
TXN01891,2025-02-17,Expense,Food,Flipkart,1643.22,Credit Card
TXN01922,2025-02-18,Expense,Transport,Myntra,13303.71,Credit Card
TXN01566,2025-02-18,Expense,Groceries,Flipkart,2368.73,Bank Transfer
TXN00113,2025-02-18,Expense,Food,Swiggy,419.04,Bank Transfer
TXN00199,2025-02-19,Expense,Education,Hospital,9069.13,Bank Transfer
TXN00884,2025-02-19,Income,Investment,Company,65795.86,Bank Transfer
TXN00688,2025-02-20,Income,Investment,Bank,52905.42,UPI
TXN00881,2025-02-20,Expense,Other,BookMyShow,11983.2,Bank Transfer
TXN01124,2025-02-20,Income,Freelance,Client,42905.71,Cash
TXN00420,2025-02-21,Expense,Travel,Zomato,5697.17,Bank Transfer
TXN01941,2025-02-21,Expense,Travel,Netflix,6809.44,Debit Card
TXN00768,2025-02-21,Expense,Food,IRCTC,6502.32,Cash
TXN01811,2025-02-21,Expense,Education,DMart,2332.96,Bank Transfer
TXN01913,2025-02-21,Expense,Bills,DMart,10301.57,Credit Card
TXN01254,2025-02-21,Expense,Bills,BookMyShow,2605.75,Cash
TXN00226,2025-02-21,Income,Investment,Client,19988.64,UPI
TXN01684,2025-02-21,Expense,Entertainment,Jio,5677.46,Cash
TXN00139,2025-02-21,Expense,Food,Jio,10915.68,Credit Card
TXN01183,2025-02-22,Expense,Shopping,College,11895.01,Cash
TXN01964,2025-02-22,Expense,Bills,Netflix,13768.24,UPI
TXN00419,2025-02-22,Expense,Other,DMart,5196.8,Debit Card
TXN01440,2025-02-22,Expense,Entertainment,Zomato,322.4,Credit Card
TXN01905,2025-02-22,Expense,Other,Electricity Board,14231.48,Bank Transfer
TXN00408,2025-02-22,Expense,Travel,Flipkart,13363.7,UPI
TXN00601,2025-02-22,Expense,Shopping,Amazon,14639.49,Debit Card
TXN00923,2025-02-24,Expense,Food,College,13296.67,Cash
TXN01316,2025-02-24,Expense,Bills,Electricity Board,12707.33,Bank Transfer
TXN01447,2025-02-24,Expense,Groceries,Jio,554.18,Bank Transfer
TXN01924,2025-02-24,Expense,Food,BigBasket,5961.32,Cash
TXN00363,2025-02-24,Income,Freelance,Client,13320.45,Bank Transfer
TXN01474,2025-02-24,Expense,Shopping,Myntra,9594.59,Cash
TXN00517,2025-02-24,Expense,Bills,Zomato,12558.33,Cash
TXN00258,2025-02-24,Expense,Bills,BigBasket,8211.08,Bank Transfer
TXN00326,2025-02-24,Income,Investment,Bank,23008.29,Cash
TXN00936,2025-02-24,Expense,Food,College,498.13,Debit Card
TXN01101,2025-02-25,Expense,Transport,Myntra,766.88,Credit Card
TXN01973,2025-02-25,Expense,Food,Airtel,11879.04,Credit Card
TXN00975,2025-02-25,Expense,Other,Myntra,13587.8,Credit Card
TXN00169,2025-02-25,Income,Freelance,Investment Account,28256.53,Credit Card
TXN00695,2025-02-25,Expense,Other,Netflix,10361.39,UPI
TXN01862,2025-02-25,Expense,Other,Netflix,1998.39,Cash
TXN00891,2025-02-25,Expense,Travel,BigBasket,10907.37,Debit Card
TXN00121,2025-02-25,Expense,Transport,Airtel,11000.7,UPI
TXN00152,2025-02-25,Income,Investment,Investment Account,62656.95,Debit Card
TXN01311,2025-02-25,Income,Investment,Company,75729.75,Debit Card
TXN01598,2025-02-25,Expense,Bills,Zomato,11047.35,Credit Card
TXN00520,2025-02-25,Expense,Groceries,Hospital,3901.52,Credit Card
TXN00914,2025-02-26,Expense,Food,Amazon,2051.71,Cash
TXN01145,2025-02-26,Expense,Transport,Zomato,7450.26,Cash
TXN00970,2025-02-26,Expense,Entertainment,IRCTC,3772.8,Debit Card
TXN01659,2025-02-26,Expense,Travel,Zomato,10518.35,Credit Card
TXN00333,2025-02-26,Income,Freelance,Client,61583.49,Cash
TXN01575,2025-02-26,Expense,Travel,College,10323.53,Cash
TXN01216,2025-02-27,Expense,Travel,Zomato,7226.39,UPI
TXN00854,2025-02-27,Expense,Travel,Amazon,8047.25,Credit Card
TXN00775,2025-02-27,Expense,Travel,Spotify,322.59,Cash
TXN00430,2025-02-27,Expense,Bills,Electricity Board,10812.99,Cash
TXN01838,2025-02-27,Expense,Entertainment,BigBasket,9375.86,Cash
TXN01215,2025-02-28,Income,Investment,Client,14875.03,Cash
TXN00434,2025-02-28,Expense,Education,Myntra,14978.47,Debit Card
TXN01710,2025-02-28,Income,Investment,Company,69298.92,Bank Transfer
TXN00409,2025-02-28,Expense,Travel,Amazon,11803.28,Cash
TXN01232,2025-03-01,Income,Investment,Company,64525.55,UPI
TXN01007,2025-03-01,Expense,Transport,Swiggy,4535.05,Cash
TXN00540,2025-03-01,Expense,Groceries,IRCTC,9908.95,Bank Transfer
TXN00574,2025-03-02,Income,Salary,Client,69051.21,Credit Card
TXN00638,2025-03-02,Expense,Travel,Spotify,8201.92,Debit Card
TXN01016,2025-03-02,Expense,Bills,IRCTC,7878.22,Debit Card
TXN00514,2025-03-02,Expense,Other,Myntra,8114.05,Cash
TXN02000,2025-03-02,Expense,Food,Uber,6662.68,Cash
TXN00054,2025-03-02,Income,Salary,Client,18415.29,UPI
TXN00282,2025-03-02,Income,Salary,Investment Account,71750.81,UPI
TXN00266,2025-03-02,Expense,Shopping,Uber,207.73,UPI
TXN01686,2025-03-03,Expense,Food,Swiggy,5908.93,Bank Transfer
TXN00997,2025-03-03,Expense,Groceries,Amazon,4757.48,Credit Card
TXN01769,2025-03-03,Expense,Entertainment,Ola,2247.91,Bank Transfer
TXN01612,2025-03-04,Expense,Groceries,Ola,7156.73,Bank Transfer
TXN00102,2025-03-04,Expense,Travel,DMart,14911.18,Bank Transfer
TXN01406,2025-03-04,Expense,Other,Zomato,52.84,Bank Transfer
TXN00582,2025-03-05,Expense,Travel,BigBasket,2864.87,UPI
TXN00393,2025-03-05,Expense,Entertainment,Uber,1666.49,Cash
TXN00646,2025-03-05,Expense,Other,Swiggy,1994.09,Cash
TXN00505,2025-03-05,Expense,Food,Airtel,8941.73,Credit Card
TXN01253,2025-03-05,Expense,Groceries,Ola,11913.88,Cash
TXN00077,2025-03-05,Expense,Travel,Spotify,7862.0,Cash
TXN01321,2025-03-06,Expense,Travel,Airtel,12315.86,Cash
TXN01562,2025-03-06,Expense,Entertainment,Flipkart,8307.64,Debit Card
TXN01378,2025-03-06,Expense,Shopping,Electricity Board,6838.87,Credit Card
TXN01763,2025-03-06,Expense,Other,Zomato,9200.98,Credit Card
TXN00644,2025-03-06,Expense,Transport,Airtel,8089.72,UPI
TXN00295,2025-03-07,Expense,Groceries,Flipkart,4220.64,Debit Card
TXN00795,2025-03-07,Expense,Entertainment,Ola,4844.56,Debit Card
TXN00843,2025-03-07,Expense,Other,Airtel,2411.82,Credit Card
TXN00123,2025-03-07,Expense,Shopping,Flipkart,13645.54,Credit Card
TXN00222,2025-03-07,Expense,Education,Amazon,3279.77,Bank Transfer
TXN00958,2025-03-08,Expense,Entertainment,Electricity Board,3202.33,UPI
TXN01448,2025-03-08,Expense,Food,BigBasket,7014.49,Debit Card
TXN00592,2025-03-08,Expense,Entertainment,DMart,2028.99,Cash
TXN00270,2025-03-08,Expense,Bills,BookMyShow,7099.19,Debit Card
TXN01616,2025-03-08,Expense,Food,Uber,505.78,Credit Card
TXN01554,2025-03-08,Expense,Education,Swiggy,204.73,Cash
TXN01735,2025-03-09,Expense,Education,Myntra,6666.31,Debit Card
TXN01729,2025-03-09,Expense,Groceries,IRCTC,10472.12,UPI
TXN00697,2025-03-09,Expense,Education,Electricity Board,9557.26,Credit Card
